Theme,Keyword,Mood,Score
분위기,컨셉이 독특해요,Plus,0.3
분위기,야외공간이 멋져요,Plus,0.25
분위기,음악이 좋아요,Plus,0.2
분위기,매장이 넓어요,Plus,0.25
분위기,집중하기 좋아요,Minus,0.3
사교 활동,대화하기 좋아요,Plus,0.35
사교 활동,단체모임 하기 좋아요,Plus,0.35
사교 활동,파티하기 좋아요,Plus,0.3
사교 활동,혼밥하기 좋아요,Minus,0.25
사교 활동,읽을만한 책이 많아요,Minus,0.2
시각적 요소,사진이 잘 나와요,Plus,0.35
시각적 요소,인테리어가 멋져요,Plus,0.35
시각적 요소,뷰가 좋아요,Plus,0.3
시각적 요소,차가 맛있어요,Minus,0.15
경험,음료가 맛있어요,Plus,0.25
경험,디저트가 맛있어요,Plus,0.2
경험,주문제작을 잘해줘요,Plus,0.25
경험,특별한 메뉴가 있어요,Plus,0.3
경험,아늑해요,Minus,0.2
경험,좌석이 편해요,Minus,0.15
다양성,친절해요,Plus,0.35
다양성,차분한 분위기에요,Plus,0.15
다양성,매장이 청결해요,Plus,0.25
다양성,사진이 잘 나와요,Plus,0.25
다양성,룸이 잘 되어있어요,Minus,0.2
특별함,특별한 날 가기 좋아요,Plus,0.3
특별함,특별한 메뉴가 있어요,Plus,0.3
특별함,컨셉이 독특해요,Plus,0.25
특별함,화장실이 깨끗해요,Plus,0.15
