Theme,Keyword,Mood,Score
분위기,집중하기 좋아요,Plus,0.35
분위기,차분한 분위기에요,Plus,0.3
분위기,음악이 좋아요,Plus,0.15
분위기,아늑해요,Plus,0.2
분위기,대화하기 좋아요,Minus,0.15
분위기,사진이 잘 나와요,Minus,0.2
공간,매장이 넓어요,Plus,0.2
공간,좌석이 편해요,Plus,0.25
공간,룸이 잘 되어있어요,Plus,0.2
공간,읽을만한 책이 많아요,Plus,0.15
공간,오래 머무르기 좋아요,Plus,0.2
공간,컨셉이 독특해요,Minus,0.1
공간,인테리어가 멋져요,Minus,0.15
공간,파티하기 좋아요,Minus,0.25
서비스,커피가 맛있어요,Plus,0.3
서비스,디저트가 맛있어요,Plus,0.15
서비스,친절해요,Plus,0.25
서비스,매장이 청결해요,Plus,0.3
서비스,음식이 빨리 나와요,Minus,0.15
청결도,매장이 청결해요,Plus,0.45
청결도,화장실이 깨끗해요,Plus,0.35
청결도,룸이 잘 되어있어요,Plus,0.2
청결도,단체모임 하기 좋아요,Minus,0.2
청결도,반려동물과 가기 좋아요,Minus,0.15
청결도,아이와 가기 좋아요,Minus,0.25
집중도,집중하기 좋아요,Plus,0.7
집중도,매장이 청결해요,Plus,0.3
집중도,단체모임 하기 좋아요,Minus,0.4
가성비,가성비가 좋아요,Plus,0.4
가성비,오래 머무르기 좋아요,Plus,0.35
가성비,양이 많아요,Plus,0.25
가성비,비싼 만큼 가치있어요,Minus,0.2
가성비,주차하기 편해요,Minus,0.15
