Theme,Keyword,Mood,Score
분위기,차분한 분위기에요,Plus,0.3
분위기,아늑해요,Plus,0.25
분위기,음악이 좋아요,Plus,0.15
분위기,룸이 잘 되어있어요,Plus,0.2
분위기,뷰가 좋아요,Plus,0.1
분위기,대화하기 좋아요,Minus,0.2
분위기,사진이 잘 나와요,Minus,0.15
환경,차가 맛있어요,Plus,0.3
환경,오래 머무르기 좋아요,Plus,0.4
환경,디저트가 맛있어요,Plus,0.3
환경,인테리어가 멋져요,Minus,0.15
환경,특별한 날 가기 좋아요,Minus,0.25
환경,아이와 가기 좋아요,Minus,0.3
프라이버시,매장이 넓어요,Plus,0.3
프라이버시,룸이 잘 되어있어요,Plus,0.4
프라이버시,좌석이 편해요,Plus,0.3
프라이버시,사진이 잘 나와요,Minus,0.25
프라이버시,파티하기 좋아요,Minus,0.35
집중도,집중하기 좋아요,Plus,0.7
집중도,매장이 청결해요,Plus,0.3
집중도,단체모임 하기 좋아요,Minus,0.4
개인 시간,혼밥하기 좋아요,Plus,0.35
개인 시간,화장실이 깨끗해요,Plus,0.2
개인 시간,야외공간이 멋져요,Plus,0.2
개인 시간,읽을만한 책이 많아요,Plus,0.25
개인 시간,컨셉이 독특해요,Minus,0.15
편의성,주차하기 편해요,Plus,0.4
편의성,선물하기 좋아요,Plus,0.25
편의성,화장실이 깨끗해요,Plus,0.35
편의성,주문제작을 잘해줘요,Minus,0.2
